r,model,subject,channel
0.023092937163653654,model1,S0006,RMST8
0.03241070363461385,model4,S0006,RMST8
0.05581132837557572,model1,S0006,RMST9
0.05926601360023012,model4,S0006,RMST9
0.07900250830307523,model1,S0006,RMST10
0.02980278907704005,model4,S0006,RMST10
0.04458606526279845,model1,S0006,RMST11
0.011379372561637522,model4,S0006,RMST11
0.03655116845797023,model1,S0006,RMST12
0.046248607378003286,model4,S0006,RMST12
0.2629841917271624,model1,S0006,RMST13
0.20253322904115187,model4,S0006,RMST13
0.3510185665518332,model1,S0006,RMST14
0.2579811669306813,model4,S0006,RMST14
0.06015946713397469,model1,S0006,RPST1
0.02995386008674565,model4,S0006,RPST1
0.1410321279368726,model1,S0006,RPST2
0.07054933259546986,model4,S0006,RPST2
0.15716961405696986,model1,S0006,RPST3
0.06255761531728235,model4,S0006,RPST3
0.1633935515995355,model1,S0006,RPST4
0.07224127443853252,model4,S0006,RPST4
0.032507107446788634,model1,S0006,RPST5
0.02693351043675236,model4,S0006,RPST5
0.05961714289277405,model1,S0006,RPST6
0.04251876578766282,model4,S0006,RPST6
0.0654062146456268,model1,S0006,RPST7
0.05863271608265011,model4,S0006,RPST7
0.052571457699279636,model1,S0006,RPST8
0.032692699729600184,model4,S0006,RPST8
0.024593509459007682,model1,S0006,RPST9
0.02954655569378111,model4,S0006,RPST9
0.031065095093817063,model1,S0006,RPST10
0.02837822575390168,model4,S0006,RPST10
0.08322587978827532,model1,S0006,RPST11
0.07988879513503074,model4,S0006,RPST11
0.04915191745731206,model1,S0006,RPST12
-0.00282753995292182,model4,S0006,RPST12
0.07802913822688723,model1,S0006,RPPST1
0.012214442786252422,model4,S0006,RPPST1
0.03152541463714393,model1,S0006,RPPST2
-0.0011869112542918455,model4,S0006,RPPST2
0.08072716202292059,model1,S0006,RPPST3
0.021072543381774302,model4,S0006,RPPST3
0.10004713984008352,model1,S0006,RPPST4
0.0177593015832384,model4,S0006,RPPST4
0.12786974893199474,model1,S0006,RPPST5
0.03912738411204923,model4,S0006,RPPST5
0.04281799241494054,model1,S0006,RPPST6
0.0358680918117463,model4,S0006,RPPST6
0.07006458121265813,model1,S0006,RPPST7
0.04640545012248786,model4,S0006,RPPST7
0.04837794445627255,model1,S0006,RPPST8
0.013246613049310579,model4,S0006,RPPST8
0.06595370719307682,model1,S0006,RPPST9
0.04306754170606334,model4,S0006,RPPST9
0.17370090350165504,model1,S0006,RPPST10
0.15238392838491793,model4,S0006,RPPST10
0.16179953257695134,model1,S0006,RPPST11
0.12834343293496814,model4,S0006,RPPST11
0.21946748075373013,model1,S0006,RPPST13
0.16971575831398947,model4,S0006,RPPST13
0.24807548760518314,model1,S0006,RPPST14
0.19704917511191986,model4,S0006,RPPST14
0.2335544255480016,model1,S0006,RPPST15
0.2348047997515012,model4,S0006,RPPST15
0.3819301304567633,model1,S0006,RPPST16
0.25446120270586164,model4,S0006,RPPST16
0.06489276022175504,model1,S0006,RAIF1
0.011987349954159256,model4,S0006,RAIF1
0.01982343397964273,model1,S0006,RAIF2
0.010118013164780122,model4,S0006,RAIF2
0.09254900418091806,model1,S0006,RAIF3
0.06269905643790571,model4,S0006,RAIF3
0.061016750712432,model1,S0006,RAIF4
0.0476872115622493,model4,S0006,RAIF4
0.0470521625384102,model1,S0006,RAIF5
0.035365494613647505,model4,S0006,RAIF5
0.0727734518186872,model1,S0006,RAIF6
0.049007696802746886,model4,S0006,RAIF6
0.12460266955567124,model1,S0006,RAIF7
0.12243063090580147,model4,S0006,RAIF7
0.2271664179909333,model1,S0006,RAIF8
0.1881059180881696,model4,S0006,RAIF8
-0.004352203338622574,model1,S0006,RPI1
-0.021572223745759192,model4,S0006,RPI1
-0.0007699258109303901,model1,S0006,RPI2
0.004412640344574077,model4,S0006,RPI2
-0.00016429653658291886,model1,S0006,RPI3
0.018099289411718737,model4,S0006,RPI3
0.05011596614399546,model1,S0006,RPI4
0.0034046016191693605,model4,S0006,RPI4
0.1339941523700106,model1,S0006,RPI5
0.03839278865084386,model4,S0006,RPI5
0.11074089049738256,model1,S0006,RPI6
0.055819737847195086,model4,S0006,RPI6
0.0923271973867704,model1,S0006,RPI7
0.016744989499254227,model4,S0006,RPI7
0.04989498047799746,model1,S0006,RPI8
0.04041338103864432,model4,S0006,RPI8
0.06024694599586732,model1,S0006,RPI9
0.06104325682131369,model4,S0006,RPI9
0.14281234432097684,model1,S0006,RPI10
0.11830744158626315,model4,S0006,RPI10
0.15480285138864386,model1,S0006,RPI11
0.10513859690788298,model4,S0006,RPI11
0.1282884237459975,model1,S0006,RPI12
0.0653931745187601,model4,S0006,RPI12
0.11700016622217327,model1,S0006,RPI13
0.047454221159544924,model4,S0006,RPI13
0.0942503206103389,model1,S0006,RPI14
0.04408635474886197,model4,S0006,RPI14
0.04151369328408185,model1,S0006,RPI15
0.02010631455500176,model4,S0006,RPI15
0.03848482928995632,model1,S0006,RPI16
-0.008230423241683526,model4,S0006,RPI16
0.17713273599865373,model1,S0006,ROF1
0.07104722630769977,model4,S0006,ROF1
0.10511523050391074,model1,S0006,ROF2
0.06681026640655208,model4,S0006,ROF2
0.0897883449186136,model1,S0006,ROF3
0.07560091081883569,model4,S0006,ROF3
0.06821372441397608,model1,S0006,ROF4
0.052062273252756336,model4,S0006,ROF4
0.09210475303730188,model1,S0006,ROF5
0.05717122871487074,model4,S0006,ROF5
0.09894281486483623,model1,S0006,ROF6
0.057607874428304576,model4,S0006,ROF6
0.10821170652207876,model1,S0006,ROF7
0.05742027458716345,model4,S0006,ROF7
0.10870858774393434,model1,S0006,ROF8
