subj,elec,roi,peak_amp,peak_lat,cond
TCH06,RAISG4,insular,0.19784158759496429,0.04,spkr
TCH06,RTG1,insular,0.520604536140507,0.2,spkr
TCH06,RTG2,a1,0.569261794376441,0.23,spkr
TCH06,RTG3,a1,0.6645037144422531,0.4,spkr
TCH06,RTG4,a1,0.952308346754448,0.4,spkr
TCH06,RTG5,a1,1.5862161000343886,0.23,spkr
TCH06,RTG6,a2,1.5740444261919369,0.27,spkr
TCH06,RTG7,a2,1.410059470518238,0.27,spkr
TCH06,RTG8,a2,0.3356998916038058,0.26,spkr
TCH06,RSF1,insular,0.11005729896609079,0.14,spkr
TCH06,RSF2,insular,0.3916074015538801,0.13,spkr
TCH06,RMF1,insular,-0.044625264609401874,0.22,spkr
TCH06,RMF2,insular,0.2830415364016186,0.24,spkr
TCH06,RPOP2,a1,1.157367103817788,0.16,spkr
TCH06,RPOP3,a1,1.7663535123860294,0.26,spkr
TCH06,RPOP5,a2,0.8258682272185317,0.38,spkr
TCH06,RSTS1,a2,0.10698395716873083,0.06,spkr
TCH06,RSTS5,a2,0.18860881167717955,0.34,spkr
TCH06,RSMG3,a2,0.4261842383749106,0.09,spkr
TCH06,RSMG4,a2,0.7757059778679501,0.1,spkr
TCH06,RSMG5,a2,0.46624983396719805,0.21,spkr
TCH14,LPILG1,insular,-0.13841385569970083,0.42,spkr
TCH14,LPILG5,insular,0.18813863960499672,0.14,spkr
TCH14,LPILG6,insular,0.03902315085186907,0.46,spkr
TCH14,LPIALG1,insular,0.0004528169722660728,0.22,spkr
TCH14,LAISG1,insular,0.055714843329042196,0.36,spkr
TCH14,RANT7,a2,0.11310202002768284,0.17,spkr
TCH14,RANT8,a2,0.20371051462691114,0.22,spkr
TCH14,RANT9,a2,0.2960794680959383,0.22,spkr
TCH14,RANT10,a2,-0.1304304101934616,0.21,spkr
TCH14,RANT11,a2,0.23582144144861755,0.2,spkr
TCH14,RANT12,a2,0.18519193649231253,0.15,spkr
TCH14,LAIMSG1,insular,0.2521014499336319,0.4,spkr
TCH14,LANT1,a2,-0.1517354901475103,0.5,spkr
TCH14,LANT2,a2,-0.08205326673898684,0.43,spkr
TCH14,LANT4,a2,-0.009023214396818177,0.18,spkr
TCH14,LANT5,a2,0.1028868758585304,0.44,spkr
TCH14,LANT6,a2,0.0036655334836762886,0.42,spkr
TCH14,LANT10,a2,0.24323275242425987,0.2,spkr
TCH14,LANT11,a2,-0.15059686908194714,0.5,spkr
TCH14,LANT13,a2,-0.13665321819059065,0.36,spkr
TCH14,LANT14,a2,-0.39541839289924374,0.36,spkr
TCH14,LUNC9,a2,-0.24956869073313379,0.42,spkr
TCH14,LSTG2,a1,1.0196774056910172,0.14,spkr
TCH14,LSTG3,a1,1.8635328565926657,0.2,spkr
TCH14,LSTG4,a2,1.598776077284761,0.25,spkr
TCH14,LSMG2,a1,0.9029219833648076,0.18,spkr
