subject,model,channel,r_value,p_value,best_alpha
S0004,model1,RMdTm56,0.025216787671890863,0.0,11288.378916846885
S0004,model1,RMdTm57,0.0528928415636056,0.0,11288.378916846885
S0004,model1,RMdTm58,0.013769295006892664,0.0,11288.378916846885
S0004,model1,RMdTm71,0.13552705706730062,0.0,11288.378916846885
S0004,model1,RMdTm72,0.13893889380082053,0.0,11288.378916846885
S0004,model1,RMdTm73,0.1093082509703282,0.0,11288.378916846885
S0004,model1,RMdTm74,0.07756334756368062,0.0,11288.378916846885
S0004,model1,RMdTm75,0.028435729835201387,0.0,11288.378916846885
S0004,model1,RMdTm76,0.10685352416969557,0.0,11288.378916846885
S0004,model1,RMdTm77,0.07269407649306547,0.0,11288.378916846885
S0004,model1,RMdTm78,0.1492976199409141,0.0,11288.378916846885
S0004,model1,RInTm51,0.0008273325021410308,0.45999999999999996,11288.378916846885
S0004,model1,RInTm52,0.003465658514067688,0.20999999999999996,11288.378916846885
S0004,model1,RInTm53,0.050510235415229324,0.0,11288.378916846885
S0004,model1,RInTm54,0.05016731781537405,0.0,11288.378916846885
S0004,model1,RInTm55,0.06536697506738975,0.0,11288.378916846885
S0004,model1,RInTm56,0.10766818785746043,0.0,11288.378916846885
S0004,model1,RInTm57,0.33794540062839024,0.0,11288.378916846885
S0004,model1,RInTm58,0.3489419131715609,0.0,11288.378916846885
S0004,model1,RSpTm51,-0.017560078625885985,1.0,11288.378916846885
S0004,model1,RSpTm52,0.017900543917293812,0.0,11288.378916846885
S0004,model1,RSpTm53,0.008042803777512798,0.0,11288.378916846885
S0004,model1,RSpTm54,-0.009331129669049934,1.0,11288.378916846885
S0004,model1,RSpTm55,0.029267632584763358,0.0,11288.378916846885
S0004,model1,RSpTm56,0.02155907636736105,0.0,11288.378916846885
S0004,model1,RSpTm57,0.04038974155594067,0.0,11288.378916846885
S0004,model1,RSpTm58,0.034933882133793566,0.0,11288.378916846885
S0004,model1,RSpTm71,0.13977354925437588,0.0,11288.378916846885
S0004,model1,RSpTm72,0.1149653992651803,0.0,11288.378916846885
S0004,model1,RSpTm73,0.06612166751251977,0.0,11288.378916846885
S0004,model1,RSpTm74,0.083878888817615,0.0,11288.378916846885
S0004,model1,RSpTm75,0.11123077568009347,0.0,11288.378916846885
S0004,model1,RSpTm76,0.06374565678613052,0.0,11288.378916846885
S0004,model1,RSpTm77,0.07756592519366334,0.0,11288.378916846885
S0004,model1,RInIns3,0.013457418848952615,0.0,11288.378916846885
S0004,model1,RInIns4,-0.0008897974279300734,0.09999999999999998,11288.378916846885
S0004,model1,RInIns5,0.055880107575373726,0.0,11288.378916846885
S0004,model1,RInIns7,0.1805757775580469,0.0,11288.378916846885
S0004,model1,RInIns8,0.26191545737309097,0.0,11288.378916846885
S0004,model1,RSpIns1,0.1083966335343918,0.0,11288.378916846885
S0004,model1,RSpIns2,0.210112995414214,0.0,11288.378916846885
S0004,model1,RSpIns3,0.12466306346513405,0.0,11288.378916846885
S0004,model1,RSpIns4,0.16394835266303034,0.0,11288.378916846885
S0004,model1,RSpIns5,0.13831078338279884,0.0,11288.378916846885
S0004,model1,RSpIns6,0.13907180622577373,0.0,11288.378916846885
S0004,model1,RSpIns7,0.1872348833424154,0.0,11288.378916846885
S0004,model1,RSpIns8,0.13589295154084816,0.0,11288.378916846885
S0004,model2,LHippo1,0.22436932008407487,0.0,61584.82110660255
S0004,model2,LHippo2,0.01391063147826148,0.0,61584.82110660255
S0004,model2,LHippo3,0.05979058068355119,0.0,61584.82110660255
S0004,model2,LHippo4,0.06559878798261481,0.0,61584.82110660255
S0004,model2,LHippo5,0.13033842422929076,0.0,61584.82110660255
S0004,model2,LHippo6,0.10026270490693848,0.0,61584.82110660255
S0004,model2,LHippo7,0.08501400691774945,0.0,61584.82110660255
S0004,model2,LHippo8,0.09738449229753757,0.0,61584.82110660255
S0004,model2,LHippo9,0.16564707621905028,0.0,61584.82110660255
S0004,model2,LHippo10,0.2223580712444874,0.0,61584.82110660255
S0004,model2,RHippo1,0.15327240178149615,0.0,61584.82110660255
S0004,model2,RHippo2,0.18847238078103493,0.0,61584.82110660255
S0004,model2,RHippo3,0.17446332349489144,0.0,61584.82110660255
S0004,model2,RHippo4,0.1243910380673617,0.0,61584.82110660255
