subject,channel
S0017,ASF-MOF8
S0017,ASF-MOF9
S0017,ASF-MOF13
S0017,ASF-MOF14
S0017,ASF-MOF15
S0017,AMF-LOF1
S0017,AMF-LOF2
S0017,AMF-LOF3
S0017,AMF-LOF8
S0017,AMF-LOF13
S0017,MSF-AC5
S0017,MSF-AC7
S0017,AIF-AI7
S0017,AMT-AMG5
S0017,AMT-AMG6
S0017,AMT-AMG7
S0017,AMT-AMG8
S0017,MMT-AH1
S0017,MMT-AH13
S0017,MMT-AH14
S0017,PMT-PH14
S0017,OP-PV2
S0017,OP-PV3
S0017,OP-PV4
S0017,OP-PV5
S0017,OP-PV6
S0017,OP-PV7
S0017,OP-PV8
S0017,OP-PV9
S0017,SPP-PC4
S0017,SPP-PC5
S0017,SPP-PC6
S0017,AIP-PI2
S0017,AIP-PI3
S0017,AIP-PI4
S0017,AIP-PI5
S0017,AIP-PI6
S0017,AIP-PI7
S0017,AIP-PI10
S0018,AMF-OF'2
S0018,AMF-OF'3
S0018,AMF-OF'4
S0018,AMF-OF'5
S0018,AMF-OF'6
S0018,AMF-OF'7
S0018,AMF-OF'8
S0018,AMF-OF'9
S0018,AMF-OF'10
S0018,AMF-OF'11
S0018,AMF-OF'12
S0018,AMF-OF'13
S0018,AMF-OF'14
S0018,AMF-AC'1
S0018,AMF-AC'2
S0018,AMF-AC'3
S0018,AMF-AC'4
S0018,AMF-AC'5
S0018,AMF-AC'6
S0018,AMF-AC'7
S0018,AMF-AC'8
S0018,AMF-AC'9
S0018,AMF-AC'10
S0018,AMF-AC'16
S0018,PIF-AI'1
S0018,PIF-AI'2
S0018,PIF-AI'3
S0018,PIF-AI'4
S0018,PIF-AI'5
S0018,PIF-AI'6
S0018,PIF-AI'7
S0018,PIF-AI'8
S0018,AMT-Amg'1
S0018,AMT-Amg'2
S0018,AMT-Amg'3
S0018,AMT-Amg'4
S0018,AMT-Amg'5
S0018,AMT-Amg'6
S0018,AMT-Amg'7
S0018,AMT-Amg'9
S0018,AMT-Amg'10
S0018,AMT-Amg'11
S0018,AMT-Amg'12
S0018,AMT-Amg'14
S0018,MMT-AH'1
S0018,MMT-AH'2
S0018,MMT-AH'3
S0018,MMT-AH'4
S0018,MMT-AH'5
S0018,MMT-AH'6
S0018,MMT-AH'7
S0018,MMT-AH'9
S0018,MMT-AH'10
S0018,PMT-PH'1
S0018,PMT-PH'2
S0018,PMT-PH'3
S0018,PMT-PH'4
S0018,PMT-PH'5
S0018,PMT-PH'6
S0018,PMT-PH'7
S0018,PMT-PH'9
S0018,PMT-PH'10
S0018,PMT-PH'12
S0018,MST-MI'1
S0018,MST-MI'2
S0018,MST-MI'3
S0018,MST-MI'4
S0018,MST-MI'5
S0018,MST-MI'6
S0018,MST-MI'10
S0018,PST-PI'7
S0018,PST-PI'8
S0018,ASP-PI'1
S0018,ASP-PI'5
S0018,ASP-PI'9
S0018,ASP-PI'10
S0018,ASP-PI'11
S0018,ASP-PI'12
S0018,ASP-PI'13
S0018,ASP-PI'14
S0018,ASP-PI'15
S0018,ASP-PI'16
S0018,POJ-PST'5
S0018,POJ-PST'7
S0018,POJ-PST'8
S0018,POJ-PST'9
S0018,POJ-PST'10
S0018,POJ-PST'12
S0018,POJ-PST'13
S0018,POJ-PST'14
S0018,PIF-AI1
S0018,PIF-AI4
S0018,PIF-AI5
