subject,channel
S0026,'AIF-AI7
S0026,'PIF-PAI3
S0026,'PIF-PAI4
S0026,'PIF-PAI5
S0026,'PIF-PAI6
S0026,'PIF-PAI7
S0026,'PIF-PAI8
S0026,'MMF-AC8
S0026,'MMF-AC9
S0026,'MMF-AC10
S0026,'PSF-MC2
S0026,'PSF-MC3
S0026,'PSF-MC4
S0026,'PSF-MC5
S0026,'PSP-LG1
S0026,'PSP-LG9
S0026,'PSP-LG11
S0026,'PSP-LG12
S0026,'AST-AT1
S0026,'AST-AT2
S0026,'AST-AT3
S0026,'AST-AT4
S0026,'AST-AT5
S0026,'AST-AT6
S0026,'AST-AT7
S0026,'AST-AT8
S0026,'AST-AT9
S0026,'AST-AT10
S0026,'AIT-AMG2
S0026,'AIT-AMG5
S0026,'AIT-AMG6
S0026,'AIT-AMG7
S0026,'AIT-AMG8
S0026,'AIT-AMG9
S0026,'AIT-AMG10
S0026,'AIT-AMG11
S0026,'AIT-AMG12
S0026,'MMT-AH1
S0026,'MMT-AH2
S0026,'MMT-AH3
S0026,'MMT-AH4
S0026,'MMT-AH6
S0026,'MMT-AH7
S0026,'MMT-AH8
S0026,'MMT-AH11
S0026,'MMT-AH12
S0026,'MMT-AH13
S0026,'MMT-AH14
S0026,'PST-PH1
S0026,'PST-PH2
S0026,'PST-PH3
S0026,'PST-PH6
S0026,'PST-PH7
S0026,'PST-PH10
S0026,'PST-PH11
S0026,'PST-PH12
S0026,'PST-PH13
S0026,'PST-PH14
TCH06,RPILG4
TCH06,RPILG5
TCH06,RPILG6
TCH06,LOT10
TCH06,LOT11
TCH06,LOT12
TCH06,LOT13
TCH06,LOT14
TCH06,ROT1
TCH06,RCMN2
TCH06,RCMN3
TCH06,RCMN4
TCH06,RCMN5
TCH06,RANT1
TCH06,RANT2
TCH06,RANT4
TCH06,RANT5
TCH06,RANT6
TCH06,RANT8
TCH06,RANT9
TCH06,RANT10
TCH06,RANT11
TCH06,RAISG1
TCH06,RAISG2
TCH06,RAISG3
TCH06,RAISG4
TCH06,RACING1
TCH06,RACING2
TCH06,RACING3
TCH06,RACING4
TCH06,RACING5
TCH06,RACING8
TCH06,RTG1
TCH06,RTG2
TCH06,RTG3
TCH06,RTG4
TCH06,RTG5
TCH06,RTG6
TCH06,RTG7
TCH06,RTG8
TCH06,RSF1
TCH06,RSF2
TCH06,RSF3
TCH06,RSF4
TCH06,RSF5
TCH06,RSF6
TCH06,RMF1
TCH06,RMF2
TCH06,RMF3
TCH06,RMF4
TCH06,RMF5
TCH06,RMF6
TCH06,RPOP1
TCH06,RPOP2
TCH06,RPOP3
TCH06,RPOP4
TCH06,RPOP5
TCH06,RFEF1
TCH06,RFEF2
TCH06,RSTS1
TCH06,RSTS5
TCH06,RML1
TCH06,RML3
TCH06,RML4
TCH06,RML5
TCH06,RSMG3
TCH06,RSMG4
TCH06,RSMG5
TCH06,RFOP5
TCH06,RMH1
TCH06,RMH3
TCH06,RMH4
TCH06,RSL3
TCH06,RSH1
TCH06,RSH2
TCH06,RSH3
TCH14,ROT1
TCH14,ROT13
TCH14,ROT14
TCH14,LOT4
TCH14,LOT5
TCH14,LOT10
TCH14,LOT12
TCH14,LOT14
TCH14,LPILG1
TCH14,LPILG5
TCH14,LPILG6
TCH14,LPILG7
TCH14,LPILG8
TCH14,LPILG9
TCH14,LPILG13
TCH14,LPILG14
TCH14,LPIALG1
TCH14,LPIALG6
TCH14,LPIALG7
TCH14,LPIALG8
TCH14,LPIALG9
TCH14,LPIALG10
TCH14,LPIALG11
TCH14,LPIALG12
TCH14,LPIALG13
TCH14,LPIALG14
TCH14,LAISG1
TCH14,LAISG5
TCH14,LAISG8
TCH14,LAISG9
TCH14,LAISG10
TCH14,LAISG11
TCH14,LAISG12
TCH14,LAISG14
TCH14,LCMN1
TCH14,LCMN2
TCH14,LCMN11
TCH14,RANT7
TCH14,RANT8
TCH14,RANT9
TCH14,RANT10
TCH14,RANT11
TCH14,RANT12
TCH14,LAIMSG1
TCH14,LAIMSG2
TCH14,LAIMSG6
TCH14,LAIMSG11
TCH14,LAIMSG14
TCH14,LANT1
TCH14,LANT2
TCH14,LANT3
TCH14,LANT4
TCH14,LANT5
TCH14,LANT6
TCH14,LANT10
TCH14,LANT11
TCH14,LANT13
TCH14,LANT14
TCH14,LUNC9
TCH14,LML4
TCH14,RSMA1
TCH14,RSMA2
TCH14,RSMA3
TCH14,RSMA4
TCH14,RSMA5
TCH14,LSMA2
TCH14,LSMA3
TCH14,LSMA5
TCH14,LPCUN2
TCH14,LPCUN3
TCH14,LPCUN6
TCH14,LSHP4
TCH14,LSHP5
TCH14,LSPL2
TCH14,LFEF2
TCH14,LFEF4
TCH14,LAG1
TCH14,LAG5
TCH14,LAG6
TCH14,LSH1
TCH14,LSH3
TCH14,LSH5
TCH14,LSL1
TCH14,LPOT2
TCH14,LPOT3
TCH14,LIPS5
TCH14,LSTG1
TCH14,LSTG2
TCH14,LSTG3
TCH14,LSTG4
TCH14,RSF1
TCH14,RSF3
TCH14,RSF4
TCH14,LSA2
TCH14,LSA3
TCH14,LSA4
TCH14,LMH1
TCH14,LMH2
TCH14,LMH3
TCH14,LMH4
TCH14,LIPL4
TCH14,LSMG2
TCH14,LSMG4
TCH14,LMA1
TCH14,LMA2
TCH14,LMA3
