subj,ch_name,el_p,sh_p
S0004,LHippo1,0.483,0.595
S0004,LHippo2,0.523,0.487
S0004,LHippo3,0.47,0.458
S0004,LHippo4,0.482,0.398
S0004,LHippo5,0.52,0.373
S0004,LHippo6,0.564,0.444
S0004,LHippo7,0.528,0.536
S0004,LHippo8,0.525,0.625
S0004,LHippo9,0.429,0.53
S0004,LHippo10,0.522,0.616
S0004,RHippo1,0.359,0.288
S0004,RHippo2,0.339,0.299
S0004,RHippo3,0.35,0.313
S0004,RHippo4,0.415,0.362
S0004,RHippo5,0.359,0.275
S0004,RHippo6,0.272,0.233
S0004,RHippo7,0.347,0.368
S0004,RHippo8,0.423,0.491
S0004,RHippo10,0.261,0.34
S0004,RAntTm1,0.364,0.452
S0004,RAntTm2,0.473,0.429
S0004,RAntTm3,0.461,0.447
S0004,RAntTm4,0.377,0.369
S0004,RAntTm5,0.465,0.379
S0004,RAntTm6,0.407,0.237
S0004,RAntTm7,0.461,0.281
S0004,RAntTm8,0.493,0.372
S0004,RAntTm9,0.431,0.416
S0004,RAntTm10,0.415,0.27
S0004,RMdTm51,0.326,0.363
S0004,RMdTm52,0.249,0.166
S0004,RMdTm53,0.221,0.188
S0004,RMdTm54,0.189,0.074
S0004,RMdTm55,0.044,0.166
S0004,RMdTm56,0.118,0.063
S0004,RMdTm57,0.031,0.012
S0004,RMdTm58,0.019,0.015
S0004,RMdTm71,0.453,0.408
S0004,RMdTm72,0.415,0.302
S0004,RMdTm73,0.343,0.28
S0004,RMdTm74,0.359,0.327
S0004,RMdTm75,0.44,0.323
S0004,RMdTm76,0.349,0.397
S0004,RMdTm77,0.254,0.182
S0004,RMdTm78,0.056,0.054
S0004,RInTm51,0.274,0.269
S0004,RInTm52,0.284,0.186
S0004,RInTm53,0.22,0.141
S0004,RInTm54,0.122,0.099
S0004,RInTm55,0.073,0.077
S0004,RInTm56,0.085,0.077
S0004,RInTm57,0.456,0.611
S0004,RInTm58,0.412,0.534
S0004,RSpTm51,0.263,0.236
S0004,RSpTm52,0.309,0.548
S0004,RSpTm53,0.114,0.113
S0004,RSpTm54,0.221,0.227
S0004,RSpTm55,0.257,0.225
S0004,RSpTm56,0.076,0.08
S0004,RSpTm57,0.0,0.0
S0004,RSpTm58,0.0,0.0
S0004,RSpTm71,0.294,0.371
S0004,RSpTm72,0.28,0.356
S0004,RSpTm73,0.869,0.923
S0004,RSpTm74,0.787,0.901
S0004,RSpTm75,0.422,0.674
S0004,RSpTm76,0.389,0.462
S0004,RSpTm77,0.268,0.323
S0004,RInIns3,0.54,0.4
S0004,RInIns4,0.09,0.16
S0004,RInIns5,0.043,0.089
S0004,RInIns7,0.005,0.006
S0004,RInIns8,0.004,0.005
S0004,RSpIns1,0.188,0.093
S0004,RSpIns2,0.279,0.52
S0004,RSpIns3,0.34,0.443
S0004,RSpIns4,0.274,0.363
S0004,RSpIns5,0.153,0.116
S0004,RSpIns6,0.215,0.091
S0004,RSpIns7,0.214,0.302
S0004,RSpIns8,0.056,0.028
S0006,RAST1,0.38,0.505
S0006,RAST2,0.239,0.283
S0006,RAST3,0.199,0.201
S0006,RAST5,0.234,0.186
S0006,RAST6,0.167,0.204
S0006,RAST7,0.286,0.303
S0006,RAST8,0.325,0.258
S0006,RAST9,0.391,0.2
S0006,RAST10,0.279,0.066
S0006,RAST11,0.382,0.384
S0006,RAST12,0.433,0.573
S0006,RMST1,0.263,0.298
S0006,RMST2,0.251,0.293
S0006,RMST3,0.307,0.305
S0006,RMST4,0.276,0.333
S0006,RMST5,0.146,0.198
S0006,RMST6,0.115,0.298
S0006,RMST7,0.097,0.258
S0006,RMST8,0.078,0.096
S0006,RMST9,0.002,0.001
S0006,RMST10,0.0,0.0
S0006,RMST11,0.013,0.0
S0006,RMST12,0.03,0.012
S0006,RMST13,0.128,0.224
S0006,RMST14,0.277,0.609
S0006,RPST1,0.597,0.752
S0006,RPST2,0.335,0.405
S0006,RPST3,0.313,0.533
S0006,RPST4,0.287,0.412
S0006,RPST5,0.442,0.282
S0006,RPST6,0.244,0.163
S0006,RPST7,0.126,0.024
S0006,RPST8,0.122,0.053
S0006,RPST9,0.195,0.214
S0006,RPST10,0.195,0.165
S0006,RPST11,0.03,0.049
S0006,RPST12,0.36,0.506
S0006,RPPST1,0.492,0.597
S0006,RPPST2,0.615,0.673
S0006,RPPST3,0.653,0.792
S0006,RPPST4,0.565,0.591
S0006,RPPST5,0.389,0.388
S0006,RPPST6,0.4,0.38
S0006,RPPST7,0.216,0.207
S0006,RPPST8,0.085,0.002
S0006,RPPST9,0.002,0.0
S0006,RPPST10,0.002,0.0
S0006,RPPST11,0.001,0.0
S0006,RPPST13,0.0,0.0
S0006,RPPST14,0.0,0.0
S0006,RPPST15,0.0,0.0
S0006,RPPST16,0.267,0.567
S0006,RAIF1,0.309,0.251
S0006,RAIF2,0.067,0.047
S0006,RAIF3,0.258,0.273
S0006,RAIF4,0.317,0.156
S0006,RAIF5,0.438,0.239
S0006,RAIF6,0.414,0.136
S0006,RAIF7,0.472,0.365
S0006,RAIF8,0.578,0.58
S0006,RPI1,0.209,0.301
S0006,RPI2,0.19,0.206
S0006,RPI3,0.165,0.259
S0006,RPI4,0.429,0.492
S0006,RPI5,0.3,0.319
S0006,RPI6,0.142,0.184
S0006,RPI7,0.249,0.287
S0006,RPI8,0.087,0.096
S0006,RPI9,0.092,0.069
S0006,RPI10,0.001,0.002
S0006,RPI11,0.006,0.01
S0006,RPI12,0.081,0.127
S0006,RPI13,0.199,0.307
S0006,RPI14,0.278,0.456
S0006,RPI15,0.431,0.512
S0006,RPI16,0.525,0.648
S0006,ROF1,0.156,0.283
S0006,ROF2,0.335,0.446
S0006,ROF3,0.29,0.472
S0006,ROF4,0.286,0.38
S0006,ROF5,0.258,0.288
S0006,ROF6,0.261,0.292
S0006,ROF7,0.262,0.327
S0006,ROF8,0.305,0.348
S0006,ROF9,0.269,0.315
S0006,ROF10,0.338,0.35
S0006,ROF11,0.325,0.398
S0006,ROF12,0.343,0.565
S0006,ROF13,0.282,0.477
S0006,ROF14,0.51,0.576
S0006,ROF15,0.57,0.821
S0006,ROF16,0.455,0.595
S0006,RAC1,0.48,0.568
S0006,RAC2,0.575,0.671
S0006,RAC3,0.578,0.724
S0006,RAC4,0.526,0.731
S0006,RAC5,0.392,0.514
S0006,RAC6,0.298,0.298
S0006,RAC7,0.343,0.396
S0006,RAC8,0.451,0.56
S0006,RAC9,0.598,0.492
S0006,RAC10,0.619,0.361
S0006,RAC11,0.592,0.35
S0006,RAC12,0.442,0.347
S0007,AMF-AC1,0.328,0.588
S0007,AMF-AC2,0.418,0.759
S0007,AMF-AC3,0.495,0.738
S0007,AMF-AC4,0.523,0.781
S0007,AMF-AC5,0.436,0.742
S0007,AMF-AC6,0.386,0.724
S0007,AMF-AC7,0.278,0.34
S0007,AMF-AC8,0.378,0.619
S0007,AMF-AC9,0.287,0.666
S0007,AMF-AC10,0.295,0.295
S0007,AMF-AC11,0.325,0.706
S0007,AMF-AC12,0.411,0.534
S0007,AMF-AC13,0.43,0.687
S0007,AMF-AC14,0.544,0.715
S0007,MSF-MC1,0.314,0.566
S0007,MSF-MC2,0.497,0.853
S0007,MSF-MC3,0.41,0.716
S0007,MSF-MC4,0.43,0.725
S0007,MSF-MC5,0.473,0.571
S0007,MSF-MC6,0.423,0.585
S0007,MSF-MC7,0.438,0.692
S0007,MSF-MC8,0.461,0.546
S0007,MSF-MC9,0.454,0.444
S0007,MSF-MC10,0.387,0.555
S0007,AIF-OF1,0.227,0.346
S0007,AIF-OF2,0.261,0.33
S0007,AIF-OF3,0.243,0.494
S0007,AIF-OF4,0.362,0.43
S0007,AIF-OF5,0.334,0.431
S0007,AIF-OF6,0.359,0.477
S0007,AIF-OF7,0.49,0.536
S0007,AIF-OF8,0.44,0.364
S0007,AIF-OF9,0.401,0.472
S0007,AIF-OF10,0.326,0.384
S0007,AIF-OF11,0.318,0.515
S0007,AIF-OF12,0.277,0.401
S0007,AIF-OF13,0.369,0.481
S0007,AIF-OF14,0.529,0.66
S0007,ASF-AI1,0.79,0.906
S0007,ASF-AI2,0.783,0.914
S0007,ASF-AI3,0.753,0.916
S0007,ASF-AI4,0.699,0.851
S0007,ASF-AI5,0.457,0.677
S0007,ASF-AI6,0.664,0.704
S0007,ASF-AI7,0.608,0.804
S0007,ASF-AI8,0.69,0.723
S0007,ASF-AI9,0.404,0.426
S0007,ASF-AI10,0.446,0.687
S0007,ASF-AI11,0.389,0.647
S0007,ASF-AI12,0.268,0.417
S0007,ASF-AI13,0.431,0.501
S0007,ASF-AI14,0.509,0.572
S0007,ASF-AI15,0.482,0.757
S0007,ASF-AI16,0.645,0.82
S0007,PSF-PI1,0.065,0.119
S0007,PSF-PI2,0.001,0.004
S0007,PSF-PI3,0.0,0.0
S0007,PSF-PI4,0.0,0.0
S0007,PSF-PI5,0.0,0.0
S0007,PSF-PI6,0.01,0.015
S0007,PSF-PI7,0.231,0.307
S0007,PSF-PI8,0.159,0.275
S0007,PSF-PI9,0.328,0.638
S0007,PSF-PI10,0.366,0.84
S0007,PSF-PI11,0.391,0.8
S0007,PSF-PI12,0.709,0.924
S0007,PSF-PI13,0.268,0.495
S0007,PSF-PI14,0.605,0.685
S0007,PSF-PI15,0.753,0.803
S0007,MMF-PL1,0.588,0.844
S0007,MMF-PL2,0.4,0.69
S0007,MMF-PL3,0.378,0.501
S0007,MMF-PL4,0.166,0.116
S0007,MMF-PL5,0.113,0.157
S0007,MMF-PL6,0.206,0.296
S0007,MMF-PL7,0.405,0.465
S0007,MMF-PL8,0.575,0.56
S0007,MMF-PL9,0.191,0.193
S0007,MMF-PL10,0.168,0.513
S0007,AMF-AI1,0.588,0.755
S0007,AMF-AI3,0.032,0.07
S0007,AMF-AI4,0.0,0.001
S0007,AMF-AI5,0.0,0.001
S0007,AMF-AI6,0.021,0.068
S0007,AMF-AI7,0.129,0.186
S0007,AMF-AI8,0.351,0.598
S0007,LMF-PV1,0.496,0.74
S0007,LMF-PV2,0.532,0.802
S0007,LMF-PV3,0.538,0.817
S0007,LMF-PV4,0.553,0.819
S0007,LMF-PV5,0.51,0.769
S0007,LMF-PV6,0.462,0.726
S0007,LMF-PV7,0.417,0.652
S0007,LMF-PV8,0.453,0.687
S0007,LMF-PV9,0.464,0.586
S0007,LMF-PV10,0.492,0.628
S0010,LAC1,0.329,0.212
S0010,LAC2,0.375,0.379
S0010,LAC3,0.381,0.436
S0010,LAC4,0.405,0.421
S0010,LAC5,0.324,0.314
S0010,LAC6,0.512,0.48
S0010,LAC7,0.47,0.476
S0010,LAC8,0.499,0.477
S0010,LAC9,0.489,0.438
S0010,LAC10,0.485,0.466
S0010,LAH1,0.446,0.547
S0010,LAH2,0.483,0.505
S0010,LAH3,0.513,0.495
S0010,LAH4,0.493,0.465
S0010,LAH5,0.436,0.414
S0010,LAH6,0.381,0.437
S0010,LAH7,0.371,0.414
S0010,LAH8,0.212,0.345
S0010,LAH9,0.172,0.215
S0010,LAH10,0.109,0.105
S0010,LAH11,0.203,0.203
S0010,LAH12,0.265,0.295
S0010,LAH13,0.224,0.342
S0010,LAH14,0.292,0.539
S0010,RAC1,0.364,0.313
S0010,RAC2,0.29,0.264
S0010,RAC3,0.449,0.339
S0010,RAC4,0.312,0.308
S0010,RAC5,0.305,0.311
S0010,RAC6,0.535,0.414
S0010,RAC7,0.458,0.407
S0010,RAC8,0.463,0.46
S0010,RAC9,0.349,0.276
S0010,RAC10,0.555,0.434
S0010,RAC11,0.474,0.412
S0010,RAC12,0.635,0.65
S0010,RAI1,0.459,0.574
S0010,RAI2,0.216,0.287
S0010,RAI3,0.622,0.458
S0010,RAI4,0.584,0.564
S0010,RAI5,0.448,0.373
S0010,RAI6,0.531,0.458
S0010,RAI7,0.21,0.129
S0010,RAI8,0.145,0.209
S0010,RAI9,0.207,0.391
S0010,RAI10,0.398,0.598
S0010,RAMG1,0.424,0.314
S0010,RAMG2,0.378,0.239
S0010,RAMG3,0.46,0.282
S0010,RAMG4,0.522,0.359
S0010,RAMG5,0.471,0.258
S0010,RAMG6,0.425,0.293
S0010,RAMG7,0.462,0.339
S0010,RAMG8,0.392,0.297
S0010,RAMG9,0.419,0.327
S0010,RAMG10,0.335,0.346
S0010,RAMG11,0.341,0.393
S0010,RAMG12,0.335,0.396
S0010,RLOF1,0.342,0.498
S0010,RLOF2,0.447,0.62
S0010,RLOF3,0.646,0.645
S0010,RLOF4,0.722,0.525
S0010,RLOF5,0.618,0.582
S0010,RLOF6,0.553,0.609
S0010,RLOF7,0.493,0.567
S0010,RLOF8,0.504,0.556
S0010,RLOF9,0.554,0.666
S0010,RLOF10,0.312,0.398
S0010,RLOF11,0.504,0.416
S0010,RLOF12,0.394,0.504
S0010,LLOF1,0.417,0.344
S0010,LLOF2,0.502,0.421
S0010,LLOF3,0.538,0.599
S0010,LLOF4,0.453,0.44
S0010,LLOF5,0.485,0.471
S0010,LLOF6,0.491,0.447
S0010,LLOF7,0.495,0.463
S0010,LLOF9,0.494,0.493
S0010,LLOF10,0.514,0.518
S0010,LLOF11,0.54,0.575
S0010,LLOF12,0.504,0.593
S0010,LLOF13,0.507,0.631
S0010,LLOF14,0.543,0.613
S0010,RMC1,0.509,0.345
S0010,RMC2,0.482,0.353
S0010,RMC3,0.312,0.384
S0010,RMC4,0.522,0.596
S0010,RMC5,0.568,0.466
S0010,RMC6,0.372,0.412
S0010,RMC7,0.394,0.379
S0010,RMC8,0.273,0.305
S0010,RMC9,0.451,0.384
S0010,RMC10,0.288,0.101
S0010,RMC11,0.465,0.443
S0010,RMC12,0.461,0.371
S0010,RMH1,0.32,0.151
S0010,RMH2,0.294,0.137
S0010,RMH3,0.263,0.119
S0010,RMH4,0.292,0.119
S0010,RMH5,0.204,0.121
S0010,RMH6,0.192,0.176
S0010,RMH7,0.33,0.248
S0010,RMH8,0.311,0.357
S0010,RMH9,0.235,0.294
S0010,RMH10,0.118,0.184
S0010,RMH11,0.157,0.193
S0010,RMH12,0.178,0.296
S0010,RMOF1,0.513,0.388
S0010,RMOF2,0.537,0.48
S0010,RMOF3,0.439,0.377
S0010,RMOF4,0.424,0.385
S0010,RMOF5,0.499,0.407
S0010,RMOF6,0.449,0.367
S0010,RMOF7,0.436,0.345
S0010,RMOF8,0.418,0.404
S0010,RMOF9,0.51,0.349
S0010,RMOF10,0.549,0.636
S0010,RMOF11,0.261,0.522
S0010,RMOF12,0.419,0.603
S0010,RMOF13,0.56,0.716
S0010,RMOF14,0.668,0.518
S0010,RMOF15,0.444,0.452
S0010,RMOF16,0.555,0.551
S0010,RPA4,0.521,0.283
S0010,RPI1,0.194,0.223
S0010,RPI2,0.386,0.482
S0010,RPI3,0.374,0.591
S0010,RPI4,0.439,0.47
S0010,RPI5,0.255,0.226
S0010,RPI6,0.264,0.32
S0010,RPI7,0.389,0.414
S0010,RPI8,0.356,0.443
S0010,RPI9,0.361,0.55
S0010,RPI10,0.379,0.453
S0010,RPI11,0.302,0.453
S0010,RPI12,0.381,0.562
S0010,RTP1,0.342,0.181
S0010,RTP2,0.429,0.317
S0010,RTP3,0.484,0.357
S0010,RTP4,0.534,0.418
S0010,RTP5,0.448,0.477
S0010,RTP6,0.528,0.56
S0010,RTP7,0.471,0.615
S0010,RTP8,0.473,0.507
S0010,RTP9,0.454,0.556
S0010,RTP10,0.354,0.62
S0014,MTG-AH1,0.383,0.221
S0014,MTG-AH2,0.387,0.13
S0014,MTG-AH3,0.598,0.34
S0014,MTG-AH4,0.515,0.285
S0014,MTG-AH5,0.489,0.4
S0014,MTG-AH6,0.564,0.481
S0014,MTG-AH7,0.642,0.54
S0014,MTG-AH8,0.656,0.462
S0014,MTG-AH9,0.492,0.23
S0014,MTG-AH10,0.182,0.4
S0014,MTG-AH11,0.124,0.192
S0014,MTG-AH12,0.341,0.374
S0014,MTG-AH13,0.478,0.285
S0014,MTG-AH14,0.389,0.266
S0014,MTG-AH15,0.581,0.328
S0014,STG-HG1,0.001,0.001
S0014,STG-HG2,0.0,0.0
S0014,STG-HG3,0.0,0.0
S0014,STG-HG4,0.0,0.001
S0014,STG-HG5,0.0,0.0
S0014,STG-HG6,0.001,0.0
S0014,STG-HG7,0.021,0.007
S0014,STG-HG8,0.559,0.218
S0014,MTG-PH1,0.65,0.275
S0014,MTG-PH2,0.445,0.315
S0014,MTG-PH3,0.449,0.423
S0014,MTG-PH4,0.705,0.444
S0014,MTG-PH5,0.557,0.363
S0014,MTG-PH6,0.569,0.374
S0014,MTG-PH7,0.642,0.439
S0014,MTG-PH8,0.713,0.434
S0014,MTG-PH9,0.649,0.452
S0014,MTG-PH10,0.663,0.25
S0014,MTG-PH11,0.678,0.241
S0014,AG-PI1,0.12,0.172
S0014,AG-PI2,0.069,0.091
S0014,AG-PI3,0.068,0.088
S0014,AG-PI4,0.009,0.156
S0014,AG-PI5,0.05,0.259
S0014,AG-PI6,0.07,0.18
S0014,AG-PI7,0.294,0.567
S0014,AG-PI8,0.536,0.568
S0014,AG-PI9,0.718,0.783
S0014,AG-PI10,0.504,0.781
S0014,AG-PI11,0.477,0.703
S0014,AG-PI12,0.718,0.579
S0014,AG-PI14,0.892,0.587
S0014,IMF-AI1,0.493,0.532
S0014,IMF-AI2,0.482,0.432
S0014,IMF-AI3,0.821,0.5
S0014,IMF-AI4,0.84,0.493
S0014,IMF-AI5,0.929,0.581
S0014,IMF-AI6,0.913,0.546
S0014,IMF-AI7,0.938,0.476
S0014,IMF-AI8,0.864,0.619
S0014,IMF-AI9,0.88,0.457
S0014,IMF-AI10,0.885,0.252
S0014,SMFMOF1,0.652,0.263
S0014,SMFMOF2,0.838,0.423
S0014,SMFMOF3,0.527,0.384
S0014,SMFMOF4,0.637,0.374
S0014,SMFMOF5,0.731,0.459
S0014,SMFMOF6,0.612,0.455
S0014,SMFMOF7,0.774,0.518
S0014,SMFMOF8,0.721,0.471
S0014,SMFMOF9,0.758,0.507
S0014,SMFMOF10,0.784,0.466
S0014,SMFMOF11,0.698,0.563
S0014,SMFMOF12,0.513,0.689
S0014,SMFMOF13,0.51,0.638
S0014,SMFMOF14,0.786,0.575
S0014,SMFMOF15,0.788,0.54
S0014,SMFMOF16,0.767,0.458
S0014,MAFLOF1,0.31,0.426
S0014,MAFLOF2,0.515,0.347
S0014,MAFLOF3,0.755,0.556
S0014,MAFLOF4,0.822,0.514
S0014,MAFLOF5,0.858,0.499
S0014,MAFLOF6,0.934,0.539
S0014,MAFLOF7,0.835,0.571
S0014,MAFLOF8,0.769,0.671
S0014,MAFLOF9,0.616,0.48
S0014,MAFLOF10,0.544,0.425
S0014,MAFLOF11,0.71,0.687
S0014,MAFLOF12,0.877,0.414
S0014,MAFLOF13,0.726,0.307
S0014,MAFLOF14,0.874,0.45
S0014,MAFLOF15,0.764,0.499
S0014,MAFLOF16,0.914,0.321
S0014,MPF-AC1,0.663,0.537
S0014,MPF-AC2,0.704,0.512
S0014,MPF-AC3,0.729,0.495
S0014,MPF-AC4,0.747,0.476
S0014,MPF-AC5,0.747,0.536
S0014,MPF-AC6,0.752,0.519
S0014,MPF-AC7,0.775,0.475
S0014,MPF-AC8,0.797,0.507
S0014,MPF-AC9,0.788,0.539
S0014,MPF-AC10,0.835,0.535
S0014,MPF-AC11,0.652,0.454
S0014,MPF-AC12,0.387,0.445
S0014,MPF-AC13,0.492,0.383
S0014,MPF-AC14,0.814,0.5
S0015,AMT-AMG1,0.605,0.772
S0015,AMT-AMG2,0.666,0.889
S0015,AMT-AMG3,0.731,0.873
S0015,AMT-AMG4,0.757,0.918
S0015,AMT-AMG5,0.717,0.846
S0015,AMT-AMG6,0.643,0.821
S0015,AMT-AMG7,0.501,0.676
S0015,AMT-AMG8,0.508,0.625
S0015,AMT-AMG9,0.531,0.59
S0015,AMT-AMG10,0.554,0.509
S0015,AMT-AMG11,0.482,0.44
S0015,AMT-AMG12,0.546,0.455
S0015,AMT-AMG13,0.609,0.413
S0015,AMT-AMG14,0.618,0.42
S0015,MST-AHG1,0.465,0.5
S0015,MST-AHG2,0.464,0.566
S0015,MST-AHG3,0.424,0.403
S0015,MST-AHG4,0.525,0.478
S0015,MST-AHG5,0.492,0.557
S0015,MST-AHG6,0.483,0.57
S0015,MST-AHG7,0.382,0.569
S0015,MST-AHG8,0.433,0.485
S0015,MST-AHG9,0.197,0.31
S0015,MST-AHG10,0.38,0.373
S0015,MST-AHG11,0.185,0.132
S0015,MST-AHG12,0.02,0.03
S0015,MST-AHG13,0.003,0.002
S0015,MST-AHG14,0.018,0.015
S0015,PST-PHG1,0.323,0.503
S0015,PST-PHG2,0.485,0.758
S0015,PST-PHG3,0.504,0.726
S0015,PST-PHG4,0.352,0.328
S0015,PST-PHG5,0.307,0.435
S0015,PST-PHG6,0.126,0.215
S0015,PST-PHG7,0.013,0.068
S0015,PST-PHG8,0.121,0.131
S0015,PST-PHG9,0.056,0.023
S0015,PST-PHG10,0.003,0.006
S0015,PST-PHG11,0.006,0.0
S0015,PST-PHG12,0.0,0.0
S0015,PST-PHG13,0.0,0.0
S0015,PST-PHG14,0.0,0.0
S0015,MMF-LOF1,0.653,0.255
S0015,MMF-LOF2,0.393,0.478
S0015,MMF-LOF3,0.277,0.63
S0015,MMF-LOF4,0.25,0.322
S0015,MMF-LOF5,0.206,0.455
S0015,MMF-LOF6,0.402,0.406
S0015,MMF-LOF7,0.144,0.293
S0015,MMF-LOF8,0.302,0.568
S0015,MMF-LOF9,0.301,0.535
S0015,MMF-LOF10,0.548,0.677
S0015,MMF-LOF11,0.516,0.641
S0015,MMF-LOF12,0.501,0.563
S0015,MMF-LOF13,0.45,0.416
S0015,MMF-LOF14,0.275,0.235
S0015,MSF-MOF1,0.506,0.338
S0015,MSF-MOF2,0.433,0.578
S0015,MSF-MOF3,0.682,0.722
S0015,MSF-MOF4,0.473,0.629
S0015,MSF-MOF5,0.511,0.549
S0015,MSF-MOF6,0.48,0.455
S0015,MSF-MOF7,0.389,0.817
S0015,MSF-MOF8,0.442,0.534
S0015,MSF-MOF9,0.41,0.479
S0015,MSF-MOF10,0.226,0.52
S0015,MSF-MOF11,0.337,0.362
S0015,MSF-MOF12,0.366,0.68
S0015,MSF-MOF13,0.384,0.76
S0015,MSF-MOF14,0.296,0.655
S0015,MSF-MOF15,0.308,0.413
S0015,MSF-MOF16,0.369,0.712
S0015,MMF-AC1,0.422,0.752
S0015,MMF-AC2,0.417,0.729
S0015,MMF-AC3,0.264,0.665
S0015,MMF-AC4,0.294,0.671
S0015,MMF-AC5,0.298,0.592
S0015,MMF-AC6,0.312,0.666
S0015,MMF-AC7,0.257,0.498
S0015,MMF-AC8,0.231,0.482
S0015,MMF-AC9,0.357,0.439
S0015,MMF-AC10,0.445,0.741
S0015,MMF-AC11,0.353,0.615
S0015,MMF-AC12,0.268,0.571
S0015,MMF-AC13,0.551,0.444
S0015,MMF-AC14,0.479,0.396
S0015,PMF-MC1,0.544,0.619
S0015,PMF-MC2,0.383,0.599
S0015,PMF-MC3,0.348,0.628
S0015,PMF-MC4,0.352,0.665
S0015,PMF-MC5,0.337,0.612
S0015,PMF-MC6,0.352,0.542
S0015,PMF-MC7,0.319,0.526
S0015,PMF-MC8,0.337,0.44
S0015,PMF-MC9,0.316,0.376
S0015,PMF-MC10,0.319,0.27
S0015,PMF-MC11,0.37,0.392
S0015,PMF-MC12,0.574,0.824
S0015,PMF-MC13,0.43,0.615
S0015,PMF-MC14,0.452,0.629
S0015,MIF-AI1,0.397,0.569
S0015,MIF-AI2,0.323,0.334
S0015,MIF-AI3,0.291,0.647
S0015,MIF-AI4,0.305,0.444
S0015,MIF-AI5,0.433,0.41
S0015,MIF-AI6,0.394,0.497
S0015,MIF-AI7,0.525,0.451
S0015,MIF-AI8,0.463,0.303
S0015,SP-PI1,0.348,0.572
S0015,SP-PI2,0.293,0.486
S0015,SP-PI3,0.256,0.553
S0015,SP-PI4,0.133,0.373
S0015,SP-PI5,0.155,0.445
S0015,SP-PI6,0.42,0.65
S0015,SP-PI7,0.109,0.287
S0015,SP-PI8,0.037,0.181
S0015,SP-PI9,0.183,0.271
S0015,SP-PI10,0.265,0.455
S0015,SP-PI11,0.267,0.545
S0015,SP-PI12,0.582,0.754
S0015,SP-PI14,0.345,0.564
S0017,ASF-MOF1,0.69,0.766
S0017,ASF-MOF2,0.348,0.756
S0017,ASF-MOF3,0.349,0.819
S0017,ASF-MOF4,0.42,0.735
S0017,ASF-MOF5,0.405,0.68
S0017,ASF-MOF6,0.376,0.709
S0017,ASF-MOF7,0.499,0.639
S0017,ASF-MOF8,0.388,0.689
S0017,ASF-MOF9,0.339,0.575
S0017,ASF-MOF10,0.339,0.689
S0017,ASF-MOF11,0.344,0.767
S0017,ASF-MOF12,0.299,0.665
S0017,ASF-MOF13,0.476,0.544
S0017,ASF-MOF14,0.683,0.652
S0017,ASF-MOF15,0.507,0.847
S0017,AMF-LOF1,0.285,0.565
S0017,AMF-LOF2,0.197,0.403
S0017,AMF-LOF3,0.231,0.555
S0017,AMF-LOF4,0.187,0.427
S0017,AMF-LOF5,0.233,0.404
S0017,AMF-LOF6,0.257,0.29
S0017,AMF-LOF7,0.287,0.415
S0017,AMF-LOF8,0.306,0.254
S0017,AMF-LOF9,0.257,0.455
S0017,AMF-LOF10,0.268,0.451
S0017,AMF-LOF11,0.336,0.521
S0017,AMF-LOF12,0.262,0.7
S0017,AMF-LOF13,0.339,0.771
S0017,MSF-AC1,0.335,0.682
S0017,MSF-AC2,0.403,0.781
S0017,MSF-AC3,0.351,0.718
S0017,MSF-AC4,0.515,0.67
S0017,MSF-AC5,0.304,0.484
S0017,MSF-AC6,0.339,0.472
S0017,MSF-AC7,0.381,0.679
S0017,MSF-AC8,0.378,0.666
S0017,MSF-AC9,0.374,0.546
S0017,MSF-AC10,0.385,0.698
S0017,AIF-AI1,0.634,0.425
S0017,AIF-AI2,0.426,0.639
S0017,AIF-AI3,0.328,0.616
S0017,AIF-AI4,0.394,0.454
S0017,AIF-AI5,0.379,0.324
S0017,AIF-AI6,0.335,0.536
S0017,AIF-AI7,0.293,0.465
S0017,AIF-AI8,0.367,0.503
S0017,AMT-AMG1,0.365,0.598
S0017,AMT-AMG2,0.378,0.719
S0017,AMT-AMG3,0.331,0.678
S0017,AMT-AMG4,0.372,0.742
S0017,AMT-AMG5,0.397,0.817
S0017,AMT-AMG6,0.405,0.798
S0017,AMT-AMG7,0.421,0.758
S0017,AMT-AMG8,0.361,0.714
S0017,AMT-AMG9,0.572,0.837
S0017,AMT-AMG10,0.812,0.782
S0017,MMT-AH1,0.465,0.513
S0017,MMT-AH2,0.428,0.747
S0017,MMT-AH3,0.368,0.757
S0017,MMT-AH4,0.316,0.706
S0017,MMT-AH5,0.35,0.697
S0017,MMT-AH6,0.207,0.357
S0017,MMT-AH7,0.14,0.343
S0017,MMT-AH8,0.117,0.251
S0017,MMT-AH9,0.025,0.166
S0017,MMT-AH10,0.013,0.18
S0017,MMT-AH11,0.0,0.009
S0017,MMT-AH12,0.025,0.136
S0017,MMT-AH13,0.432,0.531
S0017,MMT-AH14,0.659,0.72
S0017,PMT-PH1,0.461,0.841
S0017,PMT-PH2,0.456,0.815
S0017,PMT-PH3,0.321,0.731
S0017,PMT-PH4,0.213,0.542
S0017,PMT-PH5,0.037,0.01
S0017,PMT-PH6,0.024,0.142
S0017,PMT-PH7,0.001,0.011
S0017,PMT-PH8,0.0,0.001
S0017,PMT-PH9,0.0,0.002
S0017,PMT-PH10,0.0,0.0
S0017,PMT-PH11,0.0,0.0
S0017,PMT-PH12,0.0,0.004
S0017,PMT-PH13,0.007,0.07
S0017,PMT-PH14,0.642,0.7
S0017,OP-PV1,0.355,0.77
